Per_capita_GNI,agriculture_and_hunting_fishing_isic,construction_isic,Imports_of_goods_and_services,mining_manifacturing_isic,transport_storage_communication_isic,GDP,Urban_population_log,leader_ideology_leftist,leader_ideology_rightist,democracy_yes
7.160069207596127,23.085942965063655,21.591024027203595,23.60893460270269,22.861136037314893,22.66046328080673,24.76228510874248,16.18558746308582,0,1,0
10.459439493918229,23.583947712428177,25.468197965318357,27.011124397110056,26.469469027489758,26.006469565689475,28.353727098730523,17.67252375024419,1,0,1
7.781973234434385,19.621861814012025,17.879022836244445,20.87122803815053,19.52698686570102,19.038159805192436,21.40146083163686,12.80325668315176,0,1,1
10.164235126247704,22.237222540711585,22.515392852620995,24.47683534469285,23.953568570425727,23.17122569932456,25.650519522110862,15.288379096349255,0,1,1
8.14757773620177,21.346890959417728,20.757476710243893,23.246738451452092,22.673793966411864,21.157517340976533,24.044092388808853,15.204130213490433,0,0,1
9.672689782285058,18.661290210262095,19.75799824410106,22.906509323843917,20.626336216756073,20.384749314997098,22.64080492436268,12.848231748277145,0,0,1
10.980348316039725,21.70830815701438,23.377488522742873,25.643246762781835,24.632777390437603,24.008968858148435,26.494706960079544,15.3812024133043,0,1,1
9.159362817211315,24.345075518019357,25.156541513128698,26.782389032530546,26.310514495350407,25.29832089310396,27.788024864739068,18.37977728778087,0,1,1
6.996681488176539,20.678563998472843,19.930804712203653,22.448117761203445,21.31160907859762,20.2469598986054,22.831515833529565,15.028950408063123,0,1,1
9.48910782703839,23.815746790258288,24.532314541507006,25.33838635379757,25.377226187113457,24.515321292225394,26.98666409953994,17.20979503379049,1,0,1
6.645090969505644,20.871157871678363,18.499161148789195,21.232947476211585,21.21434033366206,19.663134283869553,22.603449401834776,15.097568493622381,1,0,1
10.05048413127047,23.473237124793673,24.303328200268336,26.314252817461,25.87655743144997,24.70534984706541,27.328563757895967,17.02464896771114,0,0,1
7.6586995582682995,20.78099959152391,19.785671365821067,22.20426269690631,20.848791179004284,20.686599322488632,22.821018949629696,14.555101819457965,0,1,1
10.777768084253218,22.246921561573686,23.91172590645801,25.841259649369153,25.092189080792416,24.18603369501838,26.714730384056892,15.386764867260535,1,0,1
6.47543271670409,19.32193411531033,18.295086330014396,20.720986069249697,19.52821495365338,19.065280939772364,21.205260341193554,14.188709328429391,1,0,1
8.434897948689407,20.04374067201106,21.05636720643048,23.478888122564918,22.491320432438588,21.614176214470035,23.9345409561354,14.918039167825587,0,1,1
5.655991810819852,20.836918941052517,19.326793531831445,20.883968348856147,20.134220281574095,19.157480839393624,21.966066766122925,15.05777922482405,1,0,1
7.874358824729881,20.58605483026642,19.86396216367618,22.518425567229098,21.212806210105256,20.602973515789806,23.041383803720322,14.407433102756354,0,1,1
10.81631228476711,19.08800367548789,20.940730214639224,23.59903390262269,21.7725054446151,21.368935263100354,23.760781127714385,12.732940895462875,0,0,1
8.050384453067021,20.757341797178704,19.93401767858381,22.533973908764622,21.198935889772788,20.949889410752068,23.228236688722177,14.558848350180567,0,1,1
7.4949862339505335,19.633299958108694,18.033538816357307,21.203127802096088,20.548376645569896,18.926749035537117,21.909783805401727,13.366358417531822,1,0,1
8.342601680684194,21.464286311002112,20.799289711301125,22.424705973928784,21.341041382574726,20.418763135578505,23.175090706023642,14.458453850517992,0,1,0
8.802522498284421,25.157738424695253,24.673956198684944,26.174304290516403,26.18709764197626,25.31926761184878,28.00258467236172,19.017797398821173,0,1,1
7.086737934510577,22.916492217914914,21.19841321129879,22.73584336776557,23.021047627933278,22.191489721429207,24.60201014406475,16.544824083730525,0,1,0
6.2766434893416445,23.80087545774693,21.33359287374232,23.061068181270297,23.15586777919887,22.811319805974634,25.078516974620847,17.681370497376765,0,1,0
9.092569836241674,20.492274567688426,21.7513434915794,24.33374998241915,23.277325991185865,22.225905262337218,24.615768097100705,14.909209127396412,0,1,1
8.194229304819817,23.04320662466295,22.148056292496836,24.93681321681284,23.96846014139104,22.315850493932032,25.03382902664894,16.193455503468446,0,1,0
8.024207485778577,18.996469144471785,19.506308601904657,21.597006045421317,21.415340521087625,18.96024409316276,22.336748591764948,13.587967342305378,0,1,1
10.585396823669269,25.27274143096788,26.702151601850066,26.575468316723757,27.916200058162964,26.777705183218128,29.24045902836285,18.39525913570922,1,0,1
10.58693787011721,18.866768121036966,20.724824509584845,23.290390535943647,21.589416180108106,21.052107689662417,23.465355310113747,12.675244679096052,0,0,1
9.41156545918937,22.451357245542866,22.682765953227932,24.44366468472178,23.905562628855293,22.78657840701132,25.53545019232696,15.466110759012027,1,0,1
7.174724309836376,21.675042503671424,19.594868348650802,22.389623606812588,21.89091196452896,21.11988143741314,23.500913183929466,15.492489354928944,0,1,1
6.86171134048073,20.675969933912533,20.800969890869048,22.565761304393018,21.925083568670637,20.532959361371013,22.88433461784328,15.28225085314332,0,1,0
6.853299093186078,20.37506005108677,17.703480411803277,20.31184093801348,20.291464998331186,18.183993844120923,21.59806179595237,13.721021840667218,0,1,0
10.689122752531224,24.43691800351581,25.727212142898583,27.474367305884343,26.60100161872885,26.18709764197626,28.66420559927456,17.771119063910078,1,0,1
7.024649030453636,21.25663880722996,19.937298570922295,22.37408209528463,21.63919153660441,19.46698110732387,22.84611542179839,13.691472248814124,0,1,0
7.43307534889858,21.747728970099956,20.815841043755764,22.878832354616552,22.08058417903113,20.80624253103851,23.794557618280667,15.573665155640679,0,1,1
9.343559215762406,20.33697810923773,21.033972657729578,23.12118730521986,22.46016544545964,21.24997395431507,23.84611975053752,13.82145386149472,1,0,1
