Country,Country Code,Series,Series Code,1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
Advanced Economies,AME,"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Core CPI,seas.adj,,,",CORESA,73.92118352065,75.93744196249,77.56840919338,79.40311618856,81.0684782128,82.69779450653,84.17068418248,85.24096582462,86.38987883488,87.86113500033,89.45773347072,90.70724349978,91.99253220206,93.31594276152,94.76224569099,96.40403684577,98.17576972741,99.48523053043,100.32444221596,101.70224844944,103.25585229019,104.59060824918,106.09816288938,107.58557267735,109.08556336469,110.52521368547,112.17996170991,113.8980809011,115.1502225371,117.52317528755,122.81503463119,128.52319224546,132.38100622258
Advanced Economies,AME,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,4.0177340984,4.08312280036,3.02006737986,2.58753709023,2.8943470052,2.15265398799,1.89890388707,1.74033202508,2.66416327159,2.59870722648,2.00780461216,2.05228332791,2.11018592449,2.27980187165,2.31922219972,2.31641153858,4.07620753281,0.57930714865,1.63656955013,3.19569181706,2.44301773927,1.40598444662,0.50777584127,0.12113723254,0.3191826258,1.43081079278,1.70269251569,1.43290076929,0.428802589,2.43880181598,7.92049342933,4.87746812088,2.37797428092
Advanced Economies,AME,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, seas. adj.,,,",CPTOTSAXN,70.96617817827,73.13792674949,74.94874498476,76.72267239527,78.4578452769,80.12878832188,81.33827220666,82.39198877141,84.05758222665,85.77139503288,86.96434212137,88.45746994088,90.09947217067,91.99551433009,94.01160752349,95.96069468296,99.0697517881,99.10210138054,100.45684899956,102.96815395758,104.86840104116,106.19957423335,107.64373008644,107.97848424203,108.76428659897,110.54106213068,112.64032030947,114.20338949435,115.0048963894,118.40342675686,126.61716981588,132.40837023186,135.89376367303
Advanced Economies,AME,"CPI Price,not seas.adj,,,",CPTOTNSXN,71.33398428688,73.52764700693,75.33551233188,77.11678506307,78.84019180371,80.50426778371,81.69998109398,82.74542790926,84.40008609291,86.10345500257,87.29524041927,88.78586297051,90.4296282169,92.34523518784,94.36286832561,96.30926636803,99.43800167586,99.46890526325,100.86934298128,103.43697110082,105.36597434755,106.72180915926,108.17772381053,108.48437243692,109.24469687542,111.04125604898,113.16536503638,114.73693919568,115.52436429794,118.95158551544,127.29876669057,133.16312663956,136.60018486874
Advanced Economies,AME,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,38.04573741759,37.12917010388,36.16630779767,34.27551832061,36.79362388358,42.64027708984,57.39955833509,49.27312945076,47.02513818604,53.30582047254,52.41217292648,49.55083178917,47.26890008271,43.74482164064,42.24970310279,41.55640555061,45.30187015043,49.76037668624,45.46396715626,43.12287576845,43.7331466454,44.56888316371,44.15723669197,48.22672425664,47.87125450648,47.28791151765,46.15537605908,48.05783884749,48.25991629178,47.44533031903,54.23819314241,55.62035941439,58.50492319298
Advanced Economies,AME,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,3574019.91778576,3790898.82756471,4134598.40452857,4463584.14071558,4756942.71645007,5185885.22915548,5434343.40565784,5690916.99482392,6295534.17816768,6298837.557601,6495528.70669541,6806081.1107229,7396468.20754419,7729962.11110725,8332427.2446944,8770500.42914422,8999030.31506437,7848597.8381937,8821088.42224231,9316908.89902062,9353059.3944962,9501599.21540232,9757142.4699079,9893189.60662736,10015698.5186643,10468142.031887,10771181.5511434,10747340.3200619,10076736.1386734,10938378.2925046,11058767.2460689,10981662.5153302,11145607.7474029
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,3457324.40497858,3667720.15300939,4000834.73693025,4339225.07378004,4616171.4125675,5057559.21099781,5252100.23415141,5524768.78920213,6180537.22476619,6178865.72325608,6373241.13636897,6658795.58981276,7242012.97641924,7585829.82407389,8209066.56498307,8673444.70080575,8851936.16531493,7671172.11796931,8723760.18633793,9230392.25554748,9254678.36390931,9395526.08170424,9643199.98819726,9743393.12711374,9897203.35527546,10408418.0596849,10690536.4633051,10706168.128094,10036697.6538464,10894708.4323431,11110103.587485,10977716.4641113,11143956.1901653
